,Year,Geography,GeographyType,Indicator,Value,ValueType,Demographics,DemographicsType
8890,2020,Blount,County,Inpatient Stays Involving All Stimulant Overdose,19.0,Count,,
8891,2020,Blount,County,Outpatient Visits Involving All Stimulant Overdose,14.0,Count,,
8904,2020,Bradley,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),10.0,Count,,
8905,2020,Bradley,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),5.0,Count,,
8906,2020,Bradley,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
8907,2020,Bradley,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
8908,2020,Bradley,County,Inpatient Stays Involving Heroin Overdose,3.0,Count,,
8909,2020,Bradley,County,Outpatient Visits Involving Heroin Overdose,25.0,Count,,
8910,2020,Bradley,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,32.0,Count,,
8911,2020,Bradley,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,103.0,Count,,
8912,2020,Bradley,County,Inpatient Stays Involving All Drug Overdose,118.0,Count,,
8913,2020,Bradley,County,Outpatient Visits Involving All Drug Overdose,307.0,Count,,
8914,2020,Bradley,County,Inpatient Stays Involving All Stimulant Overdose,12.0,Count,,
8915,2020,Bradley,County,Outpatient Visits Involving All Stimulant Overdose,5.0,Count,,
8928,2020,Campbell,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),8.0,Count,,
8929,2020,Campbell,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),17.0,Count,,
8930,2020,Campbell,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
8931,2020,Campbell,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
8932,2020,Campbell,County,Inpatient Stays Involving Heroin Overdose,7.0,Count,,
8933,2020,Campbell,County,Outpatient Visits Involving Heroin Overdose,37.0,Count,,
8934,2020,Campbell,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,6.0,Count,,
8935,2020,Campbell,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,27.0,Count,,
8936,2020,Campbell,County,Inpatient Stays Involving All Drug Overdose,35.0,Count,,
8937,2020,Campbell,County,Outpatient Visits Involving All Drug Overdose,136.0,Count,,
8938,2020,Campbell,County,Inpatient Stays Involving All Stimulant Overdose,8.0,Count,,
8939,2020,Campbell,County,Outpatient Visits Involving All Stimulant Overdose,17.0,Count,,
8952,2020,Cannon,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
8953,2020,Cannon,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
8954,2020,Cannon,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
8955,2020,Cannon,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
8956,2020,Cannon,County,Inpatient Stays Involving Heroin Overdose,3.0,Count,,
8957,2020,Cannon,County,Outpatient Visits Involving Heroin Overdose,18.0,Count,,
8958,2020,Cannon,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,6.0,Count,,
8959,2020,Cannon,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,15.0,Count,,
8960,2020,Cannon,County,Inpatient Stays Involving All Drug Overdose,24.0,Count,,
8961,2020,Cannon,County,Outpatient Visits Involving All Drug Overdose,59.0,Count,,
8962,2020,Cannon,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
8963,2020,Cannon,County,Outpatient Visits Involving All Stimulant Overdose,1.0,Count,,
8976,2020,Carroll,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),4.0,Count,,
8977,2020,Carroll,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),5.0,Count,,
8978,2020,Carroll,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
8979,2020,Carroll,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
8980,2020,Carroll,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
8981,2020,Carroll,County,Outpatient Visits Involving Heroin Overdose,4.0,Count,,
8982,2020,Carroll,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,4.0,Count,,
8983,2020,Carroll,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,12.0,Count,,
8984,2020,Carroll,County,Inpatient Stays Involving All Drug Overdose,18.0,Count,,
8985,2020,Carroll,County,Outpatient Visits Involving All Drug Overdose,65.0,Count,,
8986,2020,Carroll,County,Inpatient Stays Involving All Stimulant Overdose,5.0,Count,,
8987,2020,Carroll,County,Outpatient Visits Involving All Stimulant Overdose,6.0,Count,,
9000,2020,Carter,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),8.0,Count,,
9001,2020,Carter,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),7.0,Count,,
9002,2020,Carter,County,Inpatient Stays Involving Cocaine Overdose,2.0,Count,,
9003,2020,Carter,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9004,2020,Carter,County,Inpatient Stays Involving Heroin Overdose,4.0,Count,,
9005,2020,Carter,County,Outpatient Visits Involving Heroin Overdose,10.0,Count,,
9006,2020,Carter,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,11.0,Count,,
9007,2020,Carter,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,9.0,Count,,
9008,2020,Carter,County,Inpatient Stays Involving All Drug Overdose,58.0,Count,,
9009,2020,Carter,County,Outpatient Visits Involving All Drug Overdose,90.0,Count,,
9010,2020,Carter,County,Inpatient Stays Involving All Stimulant Overdose,9.0,Count,,
9011,2020,Carter,County,Outpatient Visits Involving All Stimulant Overdose,7.0,Count,,
9048,2020,Cheatham,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),5.0,Count,,
9049,2020,Cheatham,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
9050,2020,Cheatham,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
9051,2020,Cheatham,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
9052,2020,Cheatham,County,Inpatient Stays Involving Heroin Overdose,9.0,Count,,
9053,2020,Cheatham,County,Outpatient Visits Involving Heroin Overdose,88.0,Count,,
9054,2020,Cheatham,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,12.0,Count,,
9055,2020,Cheatham,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,80.0,Count,,
9056,2020,Cheatham,County,Inpatient Stays Involving All Drug Overdose,69.0,Count,,
9057,2020,Cheatham,County,Outpatient Visits Involving All Drug Overdose,254.0,Count,,
9058,2020,Cheatham,County,Inpatient Stays Involving All Stimulant Overdose,5.0,Count,,
9059,2020,Cheatham,County,Outpatient Visits Involving All Stimulant Overdose,4.0,Count,,
9072,2020,Chester,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
9073,2020,Chester,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
9074,2020,Chester,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
9075,2020,Chester,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9076,2020,Chester,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
9077,2020,Chester,County,Outpatient Visits Involving Heroin Overdose,2.0,Count,,
9078,2020,Chester,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,3.0,Count,,
9079,2020,Chester,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,3.0,Count,,
9080,2020,Chester,County,Inpatient Stays Involving All Drug Overdose,12.0,Count,,
9081,2020,Chester,County,Outpatient Visits Involving All Drug Overdose,30.0,Count,,
9082,2020,Chester,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
9083,2020,Chester,County,Outpatient Visits Involving All Stimulant Overdose,1.0,Count,,
9096,2020,Claiborne,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),6.0,Count,,
9097,2020,Claiborne,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
9098,2020,Claiborne,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
9099,2020,Claiborne,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9100,2020,Claiborne,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
9101,2020,Claiborne,County,Outpatient Visits Involving Heroin Overdose,9.0,Count,,
9102,2020,Claiborne,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,12.0,Count,,
9103,2020,Claiborne,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,9.0,Count,,
9104,2020,Claiborne,County,Inpatient Stays Involving All Drug Overdose,37.0,Count,,
9105,2020,Claiborne,County,Outpatient Visits Involving All Drug Overdose,63.0,Count,,
9106,2020,Claiborne,County,Inpatient Stays Involving All Stimulant Overdose,6.0,Count,,
9107,2020,Claiborne,County,Outpatient Visits Involving All Stimulant Overdose,3.0,Count,,
9120,2020,Clay,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
9121,2020,Clay,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),15.0,Count,,
9122,2020,Clay,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
9123,2020,Clay,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9124,2020,Clay,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
9125,2020,Clay,County,Outpatient Visits Involving Heroin Overdose,1.0,Count,,
9126,2020,Clay,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,1.0,Count,,
9127,2020,Clay,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,3.0,Count,,
9128,2020,Clay,County,Inpatient Stays Involving All Drug Overdose,5.0,Count,,
9129,2020,Clay,County,Outpatient Visits Involving All Drug Overdose,31.0,Count,,
9130,2020,Clay,County,Inpatient Stays Involving All Stimulant Overdose,0.0,Count,,
9131,2020,Clay,County,Outpatient Visits Involving All Stimulant Overdose,15.0,Count,,
9144,2020,Cocke,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),4.0,Count,,
9145,2020,Cocke,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),9.0,Count,,
9146,2020,Cocke,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
9147,2020,Cocke,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9148,2020,Cocke,County,Inpatient Stays Involving Heroin Overdose,4.0,Count,,
9149,2020,Cocke,County,Outpatient Visits Involving Heroin Overdose,17.0,Count,,
9150,2020,Cocke,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,13.0,Count,,
9151,2020,Cocke,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,14.0,Count,,
9152,2020,Cocke,County,Inpatient Stays Involving All Drug Overdose,52.0,Count,,
9153,2020,Cocke,County,Outpatient Visits Involving All Drug Overdose,86.0,Count,,
9154,2020,Cocke,County,Inpatient Stays Involving All Stimulant Overdose,4.0,Count,,
9155,2020,Cocke,County,Outpatient Visits Involving All Stimulant Overdose,9.0,Count,,
9168,2020,Coffee,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),8.0,Count,,
9169,2020,Coffee,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),8.0,Count,,
9170,2020,Coffee,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
9171,2020,Coffee,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
9172,2020,Coffee,County,Inpatient Stays Involving Heroin Overdose,2.0,Count,,
9173,2020,Coffee,County,Outpatient Visits Involving Heroin Overdose,20.0,Count,,
9174,2020,Coffee,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,14.0,Count,,
9175,2020,Coffee,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,23.0,Count,,
9176,2020,Coffee,County,Inpatient Stays Involving All Drug Overdose,68.0,Count,,
9177,2020,Coffee,County,Outpatient Visits Involving All Drug Overdose,129.0,Count,,
9178,2020,Coffee,County,Inpatient Stays Involving All Stimulant Overdose,8.0,Count,,
9179,2020,Coffee,County,Outpatient Visits Involving All Stimulant Overdose,9.0,Count,,
9192,2020,Crockett,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
9193,2020,Crockett,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
9194,2020,Crockett,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
9195,2020,Crockett,County,Outpatient Visits Involving Cocaine Overdose,2.0,Count,,
9196,2020,Crockett,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
9197,2020,Crockett,County,Outpatient Visits Involving Heroin Overdose,3.0,Count,,
9198,2020,Crockett,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,5.0,Count,,
9199,2020,Crockett,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,6.0,Count,,
9200,2020,Crockett,County,Inpatient Stays Involving All Drug Overdose,12.0,Count,,
9201,2020,Crockett,County,Outpatient Visits Involving All Drug Overdose,30.0,Count,,
9202,2020,Crockett,County,Inpatient Stays Involving All Stimulant Overdose,2.0,Count,,
9203,2020,Crockett,County,Outpatient Visits Involving All Stimulant Overdose,2.0,Count,,
9216,2020,Cumberland,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),7.0,Count,,
9217,2020,Cumberland,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),6.0,Count,,
9218,2020,Cumberland,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
9219,2020,Cumberland,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9220,2020,Cumberland,County,Inpatient Stays Involving Heroin Overdose,4.0,Count,,
9221,2020,Cumberland,County,Outpatient Visits Involving Heroin Overdose,17.0,Count,,
9222,2020,Cumberland,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,22.0,Count,,
9223,2020,Cumberland,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,28.0,Count,,
9224,2020,Cumberland,County,Inpatient Stays Involving All Drug Overdose,70.0,Count,,
9225,2020,Cumberland,County,Outpatient Visits Involving All Drug Overdose,136.0,Count,,
9226,2020,Cumberland,County,Inpatient Stays Involving All Stimulant Overdose,7.0,Count,,
9227,2020,Cumberland,County,Outpatient Visits Involving All Stimulant Overdose,6.0,Count,,
9240,2020,Davidson,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),58.0,Count,,
9241,2020,Davidson,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),62.0,Count,,
9242,2020,Davidson,County,Inpatient Stays Involving Cocaine Overdose,201.0,Count,,
9243,2020,Davidson,County,Outpatient Visits Involving Cocaine Overdose,80.0,Count,,
9244,2020,Davidson,County,Inpatient Stays Involving Heroin Overdose,111.0,Count,,
9245,2020,Davidson,County,Outpatient Visits Involving Heroin Overdose,763.0,Count,,
9246,2020,Davidson,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,192.0,Count,,
9247,2020,Davidson,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,709.0,Count,,
9248,2020,Davidson,County,Inpatient Stays Involving All Drug Overdose,1123.0,Count,,
9249,2020,Davidson,County,Outpatient Visits Involving All Drug Overdose,2559.0,Count,,
9250,2020,Davidson,County,Inpatient Stays Involving All Stimulant Overdose,259.0,Count,,
9251,2020,Davidson,County,Outpatient Visits Involving All Stimulant Overdose,150.0,Count,,
9264,2020,Decatur,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
9265,2020,Decatur,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
9266,2020,Decatur,County,Inpatient Stays Involving Cocaine Overdose,2.0,Count,,
9267,2020,Decatur,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9268,2020,Decatur,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
9269,2020,Decatur,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
9270,2020,Decatur,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,1.0,Count,,
9271,2020,Decatur,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,5.0,Count,,
9272,2020,Decatur,County,Inpatient Stays Involving All Drug Overdose,7.0,Count,,
9273,2020,Decatur,County,Outpatient Visits Involving All Drug Overdose,18.0,Count,,
9274,2020,Decatur,County,Inpatient Stays Involving All Stimulant Overdose,3.0,Count,,
9275,2020,Decatur,County,Outpatient Visits Involving All Stimulant Overdose,2.0,Count,,
9288,2020,DeKalb,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),6.0,Count,,
9289,2020,DeKalb,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),8.0,Count,,
9290,2020,DeKalb,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
9291,2020,DeKalb,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9292,2020,DeKalb,County,Inpatient Stays Involving Heroin Overdose,5.0,Count,,
9293,2020,DeKalb,County,Outpatient Visits Involving Heroin Overdose,14.0,Count,,
9294,2020,DeKalb,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,4.0,Count,,
9295,2020,DeKalb,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,14.0,Count,,
9296,2020,DeKalb,County,Inpatient Stays Involving All Drug Overdose,22.0,Count,,
9297,2020,DeKalb,County,Outpatient Visits Involving All Drug Overdose,63.0,Count,,
9298,2020,DeKalb,County,Inpatient Stays Involving All Stimulant Overdose,6.0,Count,,
9299,2020,DeKalb,County,Outpatient Visits Involving All Stimulant Overdose,8.0,Count,,
9312,2020,Dickson,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),4.0,Count,,
9313,2020,Dickson,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
9314,2020,Dickson,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
9315,2020,Dickson,County,Outpatient Visits Involving Cocaine Overdose,2.0,Count,,
9316,2020,Dickson,County,Inpatient Stays Involving Heroin Overdose,11.0,Count,,
9317,2020,Dickson,County,Outpatient Visits Involving Heroin Overdose,79.0,Count,,
9318,2020,Dickson,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,13.0,Count,,
9319,2020,Dickson,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,58.0,Count,,
9320,2020,Dickson,County,Inpatient Stays Involving All Drug Overdose,87.0,Count,,
9321,2020,Dickson,County,Outpatient Visits Involving All Drug Overdose,234.0,Count,,
9322,2020,Dickson,County,Inpatient Stays Involving All Stimulant Overdose,5.0,Count,,
9323,2020,Dickson,County,Outpatient Visits Involving All Stimulant Overdose,5.0,Count,,
9336,2020,Dyer,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),10.0,Count,,
9337,2020,Dyer,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),8.0,Count,,
9338,2020,Dyer,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
9339,2020,Dyer,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9340,2020,Dyer,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
9341,2020,Dyer,County,Outpatient Visits Involving Heroin Overdose,3.0,Count,,
9342,2020,Dyer,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,13.0,Count,,
9343,2020,Dyer,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,13.0,Count,,
9344,2020,Dyer,County,Inpatient Stays Involving All Drug Overdose,39.0,Count,,
9345,2020,Dyer,County,Outpatient Visits Involving All Drug Overdose,100.0,Count,,
9346,2020,Dyer,County,Inpatient Stays Involving All Stimulant Overdose,11.0,Count,,
9347,2020,Dyer,County,Outpatient Visits Involving All Stimulant Overdose,8.0,Count,,
9384,2020,Fayette,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
9385,2020,Fayette,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
9386,2020,Fayette,County,Inpatient Stays Involving Cocaine Overdose,2.0,Count,,
9387,2020,Fayette,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9388,2020,Fayette,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
9389,2020,Fayette,County,Outpatient Visits Involving Heroin Overdose,6.0,Count,,
9390,2020,Fayette,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,7.0,Count,,
9391,2020,Fayette,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,23.0,Count,,
9392,2020,Fayette,County,Inpatient Stays Involving All Drug Overdose,21.0,Count,,
9393,2020,Fayette,County,Outpatient Visits Involving All Drug Overdose,77.0,Count,,
9394,2020,Fayette,County,Inpatient Stays Involving All Stimulant Overdose,2.0,Count,,
9395,2020,Fayette,County,Outpatient Visits Involving All Stimulant Overdose,2.0,Count,,
9408,2020,Fentress,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
9409,2020,Fentress,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
9410,2020,Fentress,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
9411,2020,Fentress,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9412,2020,Fentress,County,Inpatient Stays Involving Heroin Overdose,2.0,Count,,
9413,2020,Fentress,County,Outpatient Visits Involving Heroin Overdose,4.0,Count,,
9414,2020,Fentress,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,3.0,Count,,
9415,2020,Fentress,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,10.0,Count,,
9416,2020,Fentress,County,Inpatient Stays Involving All Drug Overdose,16.0,Count,,
9417,2020,Fentress,County,Outpatient Visits Involving All Drug Overdose,42.0,Count,,
9418,2020,Fentress,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
9419,2020,Fentress,County,Outpatient Visits Involving All Stimulant Overdose,3.0,Count,,
9432,2020,Franklin,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
9433,2020,Franklin,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
9434,2020,Franklin,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
9435,2020,Franklin,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9436,2020,Franklin,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
9437,2020,Franklin,County,Outpatient Visits Involving Heroin Overdose,4.0,Count,,
9438,2020,Franklin,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,5.0,Count,,
9439,2020,Franklin,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,15.0,Count,,
9440,2020,Franklin,County,Inpatient Stays Involving All Drug Overdose,30.0,Count,,
9441,2020,Franklin,County,Outpatient Visits Involving All Drug Overdose,64.0,Count,,
9442,2020,Franklin,County,Inpatient Stays Involving All Stimulant Overdose,4.0,Count,,
9443,2020,Franklin,County,Outpatient Visits Involving All Stimulant Overdose,4.0,Count,,
9456,2020,Gibson,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
9457,2020,Gibson,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
9458,2020,Gibson,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
9459,2020,Gibson,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
9460,2020,Gibson,County,Inpatient Stays Involving Heroin Overdose,2.0,Count,,
9461,2020,Gibson,County,Outpatient Visits Involving Heroin Overdose,5.0,Count,,
9462,2020,Gibson,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,8.0,Count,,
9463,2020,Gibson,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,18.0,Count,,
9464,2020,Gibson,County,Inpatient Stays Involving All Drug Overdose,33.0,Count,,
9465,2020,Gibson,County,Outpatient Visits Involving All Drug Overdose,113.0,Count,,
9466,2020,Gibson,County,Inpatient Stays Involving All Stimulant Overdose,3.0,Count,,
9467,2020,Gibson,County,Outpatient Visits Involving All Stimulant Overdose,5.0,Count,,
9480,2020,Giles,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),6.0,Count,,
9481,2020,Giles,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),6.0,Count,,
9482,2020,Giles,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
9483,2020,Giles,County,Outpatient Visits Involving Cocaine Overdose,3.0,Count,,
9484,2020,Giles,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
9485,2020,Giles,County,Outpatient Visits Involving Heroin Overdose,3.0,Count,,
9486,2020,Giles,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,6.0,Count,,
9487,2020,Giles,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,9.0,Count,,
9488,2020,Giles,County,Inpatient Stays Involving All Drug Overdose,32.0,Count,,
9489,2020,Giles,County,Outpatient Visits Involving All Drug Overdose,50.0,Count,,
9490,2020,Giles,County,Inpatient Stays Involving All Stimulant Overdose,6.0,Count,,
9491,2020,Giles,County,Outpatient Visits Involving All Stimulant Overdose,9.0,Count,,
9504,2020,Grainger,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
9505,2020,Grainger,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
9506,2020,Grainger,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
9507,2020,Grainger,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
9508,2020,Grainger,County,Inpatient Stays Involving Heroin Overdose,2.0,Count,,
9509,2020,Grainger,County,Outpatient Visits Involving Heroin Overdose,12.0,Count,,
9510,2020,Grainger,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,2.0,Count,,
9511,2020,Grainger,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,5.0,Count,,
9512,2020,Grainger,County,Inpatient Stays Involving All Drug Overdose,16.0,Count,,
9513,2020,Grainger,County,Outpatient Visits Involving All Drug Overdose,48.0,Count,,
9514,2020,Grainger,County,Inpatient Stays Involving All Stimulant Overdose,2.0,Count,,
9515,2020,Grainger,County,Outpatient Visits Involving All Stimulant Overdose,3.0,Count,,
9528,2020,Greene,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),9.0,Count,,
9529,2020,Greene,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),8.0,Count,,
9530,2020,Greene,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
9531,2020,Greene,County,Outpatient Visits Involving Cocaine Overdose,2.0,Count,,
9532,2020,Greene,County,Inpatient Stays Involving Heroin Overdose,3.0,Count,,
9533,2020,Greene,County,Outpatient Visits Involving Heroin Overdose,22.0,Count,,
9534,2020,Greene,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,14.0,Count,,
9535,2020,Greene,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,19.0,Count,,
9536,2020,Greene,County,Inpatient Stays Involving All Drug Overdose,68.0,Count,,
9537,2020,Greene,County,Outpatient Visits Involving All Drug Overdose,146.0,Count,,
9538,2020,Greene,County,Inpatient Stays Involving All Stimulant Overdose,9.0,Count,,
9539,2020,Greene,County,Outpatient Visits Involving All Stimulant Overdose,10.0,Count,,
9552,2020,Grundy,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
